region,year,production,temp,rain
Алтайский край,2006,3518000.0,3.1047618,17.850813
Алтайский край,2007,4698310.0,4.821818,17.677519
Алтайский край,2008,3857490.0,3.9448154,15.80222
Алтайский край,2009,5627844.999999999,2.1699665,16.615139
Алтайский край,2010,4240800.0,1.0557429,13.7892
Алтайский край,2011,3919500.0,2.741483,12.137676
Алтайский край,2012,2516800.0,2.4900627,14.953271
Алтайский край,2013,4926100.0,4.122083,18.765938
Алтайский край,2014,3294900.0,2.879556,20.439487
Алтайский край,2015,3940400.0,4.479706,18.547407
Алтайский край,2016,4829700.0,3.54378,19.874725
Алтайский край,2017,4975500.0,3.962087,18.551964
Алтайский край,2018,5010700.0,1.8785782,18.146235
Алтайский край,2019,4591700.0,3.8274815,14.679196
Алтайский край,2020,3951100.0,5.393331,15.509272
Алтайский край,2021,5577400.0,3.835696,15.443617
Алтайский край,2022,5648400.0,3.5994797,10.189362
Алтайский край,2023,4500000.0,4.744044,9.476855
Амурская область,2006,233690.0,-2.393612,20.956722
Амурская область,2007,361930.0,0.07116445,15.586603
Амурская область,2008,272770.0,-0.051441193,21.753454
Амурская область,2009,337801.8,-1.6270727,17.982126
Амурская область,2010,130400.0,-1.07414,20.191818
Амурская область,2011,338200.0,-0.2819532,14.073449
Амурская область,2012,271400.0,-1.7174568,17.960884
Амурская область,2013,172300.0,-1.2862841,27.728935
Амурская область,2014,417700.0,-0.62842053,13.345283
Амурская область,2015,351000.0,-0.10655848,16.415722
Амурская область,2016,474700.0,-1.8824908,22.489946
Амурская область,2017,395100.0,0.0039164224,16.678877
Амурская область,2018,360300.0,-0.57861584,16.800772
Амурская область,2019,361900.0,-1.4724833,23.085552
Амурская область,2020,418300.0,-0.14882405,20.974438
Амурская область,2021,426000.0,-0.55932236,28.862831
Амурская область,2022,446800.0,-0.45065054,16.470413
Амурская область,2023,616300.0,-0.7468427,9.331891
Архангельская область,2006,3700.0,1.1343842,24.399189
Архангельская область,2007,5460.0,2.3346748,25.040201
Архангельская область,2008,2460.0,2.09081,28.675356
Архангельская область,2009,3046.2,1.0376434,24.048695
Архангельская область,2010,3400.0,0.7204564,21.583662
Архангельская область,2011,7100.0,2.154082,22.83452
Архангельская область,2012,3700.0,0.9658101,24.130524
Архангельская область,2013,3600.0,2.4498825,23.056803
Архангельская область,2014,5600.0,1.8994141,23.82647
Архангельская область,2015,5100.0,2.5903828,24.54535
Архангельская область,2016,4600.0,2.7039363,21.43349
Астраханская область,2006,38980.00000000001,10.733505,7.6604533
Астраханская область,2007,29630.0,11.520061,8.429013
Астраханская область,2008,40180.0,10.700836,8.276806
Астраханская область,2009,48073.4,10.676315,8.668476
Астраханская область,2010,43600.0,12.275307,8.4214735
Астраханская область,2011,45600.0,10.239204,9.048434
Астраханская область,2012,31800.0,11.0346575,6.675959
Астраханская область,2013,25300.0,11.705579,8.584831
Астраханская область,2014,28800.0,10.919434,6.4992795
Астраханская область,2015,30800.0,11.82964,7.602043
Астраханская область,2016,29200.0,11.518064,9.923313
Астраханская область,2017,38800.0,11.471852,8.576779
Астраханская область,2018,35400.0,11.117673,7.30865
Астраханская область,2019,40900.0,11.707039,7.3677483
Астраханская область,2020,46800.0,12.463155,5.3302364
Астраханская область,2021,63000.0,12.240807,10.714618
Белгородская область,2006,1645900.0,6.962509,20.995413
Белгородская область,2007,1924230.0,8.588908,21.012455
Белгородская область,2008,3262910.0,8.238109,16.600676
Белгородская область,2009,2384703.9,8.220749,18.481613
Белгородская область,2010,1031800.0,8.675697,20.09973
Белгородская область,2011,2354000.0,7.104439,18.305893
Белгородская область,2012,2498400.0,7.991526,21.880634
Белгородская область,2013,3015000.0,8.399753,20.777126
Белгородская область,2014,3524800.0,8.043945,16.097818
Белгородская область,2015,3129700.0,8.568736,19.451408
Белгородская область,2016,3505600.0,8.045733,25.187286
Белгородская область,2017,3584800.0,8.292653,18.914095
Белгородская область,2018,3385800.0,7.629392,21.433409
Белгородская область,2019,3473100.0,9.019214,18.923933
Белгородская область,2020,3907600.0,9.491638,16.4637
Белгородская область,2021,3063700.0,8.319095,20.367867
Белгородская область,2022,4086500.0,8.227898,19.286268
Белгородская область,2023,3656200.0,8.80394,12.807672
Брянская область,2006,340370.0,6.1374764,27.77682
Брянская область,2007,429900.0,7.6216226,21.154919
Брянская область,2008,552020.0,7.8172097,23.425938
Брянская область,2009,608740.0,7.143112,24.10754
Брянская область,2010,381100.0,7.340248,23.217834
Брянская область,2011,539200.0,6.71007,24.595741
Брянская область,2012,585800.0,6.7332253,27.600565
Брянская область,2013,672800.0,7.2827277,23.12786
Брянская область,2014,893800.0,7.670736,15.80919
Брянская область,2015,932400.0,8.394908,19.093067
Брянская область,2016,1439100.0,7.5361304,23.551296
Брянская область,2017,1710200.0,7.6899514,20.935379
Брянская область,2018,1694900.0,7.186358,18.74968
Брянская область,2019,1701100.0,8.476082,18.369276
Брянская область,2020,2020700.0,8.958435,22.044333
