region,year,production,temp,rain,lat,lon
Алтайский край,2006,3518000.0,3.1047618,17.850813,52.6932243,82.6931424
Алтайский край,2007,4698310.0,4.821818,17.677519,52.6932243,82.6931424
Алтайский край,2008,3857490.0,3.9448154,15.80222,52.6932243,82.6931424
Алтайский край,2009,5627844.999999999,2.1699665,16.615139,52.6932243,82.6931424
Алтайский край,2010,4240800.0,1.0557429,13.7892,52.6932243,82.6931424
Алтайский край,2011,3919500.0,2.741483,12.137676,52.6932243,82.6931424
Алтайский край,2012,2516800.0,2.4900627,14.953271,52.6932243,82.6931424
Алтайский край,2013,4926100.0,4.122083,18.765938,52.6932243,82.6931424
Алтайский край,2014,3294900.0,2.879556,20.439487,52.6932243,82.6931424
Алтайский край,2015,3940400.0,4.479706,18.547407,52.6932243,82.6931424
Алтайский край,2016,4829700.0,3.54378,19.874725,52.6932243,82.6931424
Алтайский край,2017,4975500.0,3.962087,18.551964,52.6932243,82.6931424
Алтайский край,2018,5010700.0,1.8785782,18.146235,52.6932243,82.6931424
Алтайский край,2019,4591700.0,3.8274815,14.679196,52.6932243,82.6931424
Алтайский край,2020,3951100.0,5.393331,15.509272,52.6932243,82.6931424
Алтайский край,2021,5577400.0,3.835696,15.443617,52.6932243,82.6931424
Алтайский край,2022,5648400.0,3.5994797,10.189362,52.6932243,82.6931424
Алтайский край,2023,4500000.0,4.744044,9.476855,52.6932243,82.6931424
Амурская область,2006,233690.0,-2.393612,20.956722,52.8032368,128.437295
Амурская область,2007,361930.0,0.07116445,15.586603,52.8032368,128.437295
Амурская область,2008,272770.0,-0.051441193,21.753454,52.8032368,128.437295
Амурская область,2009,337801.8,-1.6270727,17.982126,52.8032368,128.437295
Амурская область,2010,130400.0,-1.07414,20.191818,52.8032368,128.437295
Амурская область,2011,338200.0,-0.2819532,14.073449,52.8032368,128.437295
Амурская область,2012,271400.0,-1.7174568,17.960884,52.8032368,128.437295
Амурская область,2013,172300.0,-1.2862841,27.728935,52.8032368,128.437295
Амурская область,2014,417700.0,-0.62842053,13.345283,52.8032368,128.437295
Амурская область,2015,351000.0,-0.10655848,16.415722,52.8032368,128.437295
Амурская область,2016,474700.0,-1.8824908,22.489946,52.8032368,128.437295
Амурская область,2017,395100.0,0.0039164224,16.678877,52.8032368,128.437295
Амурская область,2018,360300.0,-0.57861584,16.800772,52.8032368,128.437295
Амурская область,2019,361900.0,-1.4724833,23.085552,52.8032368,128.437295
Амурская область,2020,418300.0,-0.14882405,20.974438,52.8032368,128.437295
Амурская область,2021,426000.0,-0.55932236,28.862831,52.8032368,128.437295
Амурская область,2022,446800.0,-0.45065054,16.470413,52.8032368,128.437295
Амурская область,2023,616300.0,-0.7468427,9.331891,52.8032368,128.437295
Архангельская область,2006,3700.0,1.1343842,24.399189,63.5589686,43.1221646
Архангельская область,2007,5460.0,2.3346748,25.040201,63.5589686,43.1221646
Архангельская область,2008,2460.0,2.09081,28.675356,63.5589686,43.1221646
Архангельская область,2009,3046.2,1.0376434,24.048695,63.5589686,43.1221646
Архангельская область,2010,3400.0,0.7204564,21.583662,63.5589686,43.1221646
Архангельская область,2011,7100.0,2.154082,22.83452,63.5589686,43.1221646
Архангельская область,2012,3700.0,0.9658101,24.130524,63.5589686,43.1221646
Архангельская область,2013,3600.0,2.4498825,23.056803,63.5589686,43.1221646
Архангельская область,2014,5600.0,1.8994141,23.82647,63.5589686,43.1221646
Архангельская область,2015,5100.0,2.5903828,24.54535,63.5589686,43.1221646
Архангельская область,2016,4600.0,2.7039363,21.43349,63.5589686,43.1221646
Астраханская область,2006,38980.00000000001,10.733505,7.6604533,47.1878186,47.608851
Астраханская область,2007,29630.0,11.520061,8.429013,47.1878186,47.608851
Астраханская область,2008,40180.0,10.700836,8.276806,47.1878186,47.608851
Астраханская область,2009,48073.4,10.676315,8.668476,47.1878186,47.608851
Астраханская область,2010,43600.0,12.275307,8.4214735,47.1878186,47.608851
Астраханская область,2011,45600.0,10.239204,9.048434,47.1878186,47.608851
Астраханская область,2012,31800.0,11.0346575,6.675959,47.1878186,47.608851
Астраханская область,2013,25300.0,11.705579,8.584831,47.1878186,47.608851
Астраханская область,2014,28800.0,10.919434,6.4992795,47.1878186,47.608851
Астраханская область,2015,30800.0,11.82964,7.602043,47.1878186,47.608851
Астраханская область,2016,29200.0,11.518064,9.923313,47.1878186,47.608851
Астраханская область,2017,38800.0,11.471852,8.576779,47.1878186,47.608851
Астраханская область,2018,35400.0,11.117673,7.30865,47.1878186,47.608851
Астраханская область,2019,40900.0,11.707039,7.3677483,47.1878186,47.608851
Астраханская область,2020,46800.0,12.463155,5.3302364,47.1878186,47.608851
Астраханская область,2021,63000.0,12.240807,10.714618,47.1878186,47.608851
Белгородская область,2006,1645900.0,6.962509,20.995413,50.7080119,37.5837615
Белгородская область,2007,1924230.0,8.588908,21.012455,50.7080119,37.5837615
Белгородская область,2008,3262910.0,8.238109,16.600676,50.7080119,37.5837615
Белгородская область,2009,2384703.9,8.220749,18.481613,50.7080119,37.5837615
Белгородская область,2010,1031800.0,8.675697,20.09973,50.7080119,37.5837615
Белгородская область,2011,2354000.0,7.104439,18.305893,50.7080119,37.5837615
Белгородская область,2012,2498400.0,7.991526,21.880634,50.7080119,37.5837615
Белгородская область,2013,3015000.0,8.399753,20.777126,50.7080119,37.5837615
Белгородская область,2014,3524800.0,8.043945,16.097818,50.7080119,37.5837615
Белгородская область,2015,3129700.0,8.568736,19.451408,50.7080119,37.5837615
Белгородская область,2016,3505600.0,8.045733,25.187286,50.7080119,37.5837615
Белгородская область,2017,3584800.0,8.292653,18.914095,50.7080119,37.5837615
Белгородская область,2018,3385800.0,7.629392,21.433409,50.7080119,37.5837615
Белгородская область,2019,3473100.0,9.019214,18.923933,50.7080119,37.5837615
Белгородская область,2020,3907600.0,9.491638,16.4637,50.7080119,37.5837615
Белгородская область,2021,3063700.0,8.319095,20.367867,50.7080119,37.5837615
Белгородская область,2022,4086500.0,8.227898,19.286268,50.7080119,37.5837615
Белгородская область,2023,3656200.0,8.80394,12.807672,50.7080119,37.5837615
