region_std,year,month,temp_c,prec_mm
Алтайский край,2007,1,-8.037639,26.687158812034912
Алтайский край,2007,2,-9.202633,43.77629048569398
Алтайский край,2007,3,-7.8378863,28.840899931532995
Алтайский край,2007,4,7.8777165,23.6892420698128
Алтайский край,2007,5,13.2578125,115.50693608369254
Алтайский край,2007,6,16.306906,91.38057424855039
Алтайский край,2007,7,21.63042,79.94946182604212
Алтайский край,2007,8,17.328133,50.93967809151232
Алтайский край,2007,9,13.398474,24.60763539948232
Алтайский край,2007,10,3.6166012,46.70998918142602
Алтайский край,2007,11,-5.1626787,41.096093692387534
Алтайский край,2007,12,-10.468814,33.68009722066804
Алтайский край,2008,1,-20.211716,16.87728838714949
Алтайский край,2008,2,-11.845778,24.99183520670689
Алтайский край,2008,3,-1.0987996,39.94478682966138
Алтайский край,2008,4,4.543474,51.24537826307379
Алтайский край,2008,5,14.0154915,27.65668210783523
Алтайский край,2008,6,19.142529,52.79267876778009
Алтайский край,2008,7,21.76194,59.93010570675215
Алтайский край,2008,8,17.642637,66.15757541504404
Алтайский край,2008,9,9.643968,59.23238440022636
Алтайский край,2008,10,4.999145,22.39797770361159
Алтайский край,2008,11,-1.3989431,62.90454834699631
Алтайский край,2008,12,-12.82733,34.331706172144855
Алтайский край,2009,1,-14.434569,41.91535450597122
Алтайский край,2009,2,-17.803818,36.689252877385364
Алтайский край,2009,3,-5.973428,20.707046095867575
Алтайский край,2009,4,5.5438776,39.090711761999
Алтайский край,2009,5,13.020244,61.80212964014437
Алтайский край,2009,6,15.154223,74.77039336194247
Алтайский край,2009,7,19.113495,100.24670203301892
Алтайский край,2009,8,17.362457,80.54872782979585
Алтайский край,2009,9,11.856614,41.21959772071427
Алтайский край,2009,10,3.7711513,58.96774847595304
Алтайский край,2009,11,-7.0956826,55.20181911171607
Алтайский край,2009,12,-16.13741,43.637369355315684
Алтайский край,2010,1,-24.301184,21.7520036727913
Алтайский край,2010,2,-21.695368,15.162677021521443
Алтайский край,2010,3,-7.3423953,57.02602366327918
Алтайский край,2010,4,2.4284544,26.481311509230068
Алтайский край,2010,5,10.02672,49.53924574138662
Алтайский край,2010,6,18.453838,51.81073411214705
Алтайский край,2010,7,17.563623,82.76738202175575
Алтайский край,2010,8,18.3103,18.825208158733496
Алтайский край,2010,9,11.743324,22.748629029067057
