region,year,area_total,level
A,2022,5.0,region
A,2023,5.0,region
Алтайский край,2007,3576.553,region
Алтайский край,2008,3781.666,region
Алтайский край,2009,3803.968,region
Алтайский край,2010,3393.564,region
Алтайский край,2011,3628.322,region
Алтайский край,2012,3538.062,region
Алтайский край,2013,3536.192,region
Алтайский край,2014,3717.01,region
Алтайский край,2015,3632.101,region
Алтайский край,2016,3646.225,region
Алтайский край,2017,3746.324000000001,region
Алтайский край,2018,3240.382,region
Алтайский край,2019,3169.043,region
Алтайский край,2020,3289.34,region
Алтайский край,2021,3234.649,region
Алтайский край,2022,3353.13131,region
Алтайский край,2023,3352.99945,region
Амурская область,2007,231.975,region
Амурская область,2008,258.398,region
Амурская область,2009,247.87,region
Амурская область,2010,204.448,region
Амурская область,2011,189.62,region
Амурская область,2012,223.388,region
Амурская область,2013,178.086,region
Амурская область,2014,194.908,region
Амурская область,2015,180.726,region
Амурская область,2016,219.427,region
Амурская область,2017,201.254,region
Амурская область,2018,204.19,region
Амурская область,2019,232.089,region
Амурская область,2020,220.139,region
Амурская область,2021,194.755,region
Амурская область,2022,180.08813,region
Амурская область,2023,198.00706,region
Архангельская область,2007,3.233,region
Архангельская область,2008,1.844,region
Архангельская область,2009,1.811,region
Архангельская область,2010,2.24,region
Архангельская область,2011,3.156,region
Архангельская область,2012,2.69,region
Архангельская область,2013,2.418,region
Архангельская область,2014,3.018,region
Архангельская область,2015,2.799,region
Архангельская область,2016,3.17,region
Архангельская область,2017,1.294,region
Архангельская область,2018,1.071,region
Архангельская область,2019,0.819,region
Архангельская область,2020,0.31,region
Архангельская область,2021,999999999.0,region
Архангельская область (без автономного округа),2018,1.071,region
Архангельская область (без автономного округа),2019,0.819,region
Архангельская область (без автономного округа),2020,0.31,region
Архангельская область (без автономного округа),2021,999999999.0,region
Архангельская область без автономного округа,2007,3.233,region
Архангельская область без автономного округа,2008,1.844,region
Архангельская область без автономного округа,2009,1.811,region
Архангельская область без автономного округа,2010,2.24,region
Архангельская область без автономного округа,2011,3.156,region
Архангельская область без автономного округа,2012,2.69,region
Архангельская область без автономного округа,2013,2.418,region
Архангельская область без автономного округа,2014,3.018,region
Архангельская область без автономного округа,2015,2.799,region
Архангельская область без автономного округа,2016,3.17,region
Архангельская область без автономного округа,2017,1.294,region
Астраханская область,2007,24.88,region
Астраханская область,2008,23.525,region
Астраханская область,2009,24.453,region
Астраханская область,2010,22.957,region
Астраханская область,2011,21.256,region
Астраханская область,2012,17.677,region
Астраханская область,2013,13.39,region
Астраханская область,2014,13.106,region
Астраханская область,2015,11.761,region
Астраханская область,2016,10.06,region
Астраханская область,2017,11.933,region
Астраханская область,2018,15.746,region
Астраханская область,2019,15.125,region
Астраханская область,2020,15.196,region
Астраханская область,2021,17.008,region
Астраханская область,2022,23.02355,region
Белгородская область,2007,757.866,region
Белгородская область,2008,839.856,region
Белгородская область,2009,821.0120000000001,region
Белгородская область,2010,613.766,region
Белгородская область,2011,722.1179999999999,region
Белгородская область,2012,747.79,region
Белгородская область,2013,819.579,region
Белгородская область,2014,794.097,region
Белгородская область,2015,790.796,region
Белгородская область,2016,739.6759999999999,region
Белгородская область,2017,750.562,region
Белгородская область,2018,738.521,region
Белгородская область,2019,714.153,region
Белгородская область,2020,737.943,region
Белгородская область,2021,681.265,region
Белгородская область,2022,730.98659,region
Белгородская область,2023,651.89505,region
Брянская область,2007,272.983,region
Брянская область,2008,290.022,region
Брянская область,2009,314.016,region
Брянская область,2010,316.704,region
Брянская область,2011,290.489,region
Брянская область,2012,314.662,region
Брянская область,2013,331.556,region
Брянская область,2014,320.127,region
Брянская область,2015,322.538,region
Брянская область,2016,384.8030000000001,region
Брянская область,2017,392.9059999999999,region
Брянская область,2018,374.424,region
Брянская область,2019,387.03,region
Брянская область,2020,406.802,region
Брянская область,2021,407.406,region
Брянская область,2022,378.0186,region
Брянская область,2023,369.2651,region
Владимирская область,2007,95.80100000000002,region
Владимирская область,2008,106.975,region
Владимирская область,2009,84.26,region
Владимирская область,2010,83.717,region
Владимирская область,2011,87.419,region
Владимирская область,2012,84.742,region
Владимирская область,2013,88.093,region
Владимирская область,2014,81.516,region
Владимирская область,2015,89.92599999999999,region
Владимирская область,2016,93.21100000000001,region
Владимирская область,2017,85.362,region
Владимирская область,2018,78.341,region
Владимирская область,2019,80.295,region
Владимирская область,2020,82.937,region
Владимирская область,2021,90.861,region
Владимирская область,2022,91.52249,region
Владимирская область,2023,90.00091,region
Волгоградская область,2007,2129.676,region
Волгоградская область,2008,2149.123,region
Волгоградская область,2009,2052.695,region
Волгоградская область,2010,1619.949,region
Волгоградская область,2011,1631.009,region
Волгоградская область,2012,1963.377,region
Волгоградская область,2013,1899.545,region
Волгоградская область,2014,1950.981,region
Волгоградская область,2015,1922.198,region
Волгоградская область,2016,1925.519,region
Волгоградская область,2017,2156.011,region
Волгоградская область,2018,2215.878,region
Волгоградская область,2019,2162.251,region
Волгоградская область,2020,2083.69,region
Волгоградская область,2021,1831.102,region
Волгоградская область,2022,2197.84003,region
Волгоградская область,2023,2135.50973,region
Вологодская область,2007,125.417,region
Вологодская область,2008,147.323,region
Вологодская область,2009,132.073,region
Вологодская область,2010,133.714,region
Вологодская область,2011,131.78,region
Вологодская область,2012,119.339,region
Вологодская область,2013,108.998,region
Вологодская область,2014,105.773,region
Вологодская область,2015,116.657,region
Вологодская область,2016,116.41,region
Вологодская область,2017,111.335,region
Вологодская область,2018,103.807,region
Вологодская область,2019,103.336,region
Вологодская область,2020,86.441,region
Вологодская область,2021,91.158,region
Вологодская область,2022,91.16334,region
Вологодская область,2023,90.01716,region
Воронежская область,2007,1204.565,region
Воронежская область,2008,1356.3,region
Воронежская область,2009,1389.449,region
Воронежская область,2010,1083.957,region
Воронежская область,2011,1310.443,region
Воронежская область,2012,1383.113,region
Воронежская область,2013,1455.376,region
Воронежская область,2014,1420.103,region
Воронежская область,2015,1448.048,region
Воронежская область,2016,1436.764,region
