region,year,subsidy_main,subsidy_secondary,subsidy_third,subsidy_col_4,subsidy_col_5,subsidy_col_6,subsidy_col_7,subsidy_col_8,subsidy_col_9,subsidy_col_10
"Cубсидии на возмещение части процентной ставки по долгосрочным, среднесрочным и краткосрочным кредитам, взятым малыми формами хозяйствования",2016,20.0,,20.0,19.0,22.0,,,,,
"Cубсидии на возмещение части процентной ставки по долгосрочным, среднесрочным и краткосрочным кредитам, взятым малыми формами хозяйствования",2017,20.0,,20.0,19.0,22.0,,,,,
"Cубсидии на возмещение части процентной ставки по долгосрочным, среднесрочным и краткосрочным кредитам, взятым малыми формами хозяйствования",2018,20.0,,20.0,19.0,22.0,,,,,
"Cубсидии на возмещение части процентной ставки по долгосрочным, среднесрочным и краткосрочным кредитам, взятым малыми формами хозяйствования",2019,20.0,,20.0,19.0,22.0,,,,,
Cубсидии на возмещение части процентной ставки по инвестиционным кредитам (займам) на строительство и реконструкцию объектов для молочного скотоводства,2016,21.0,,21.0,66.0,61.0,,,,,
Cубсидии на возмещение части процентной ставки по инвестиционным кредитам (займам) на строительство и реконструкцию объектов для молочного скотоводства,2017,21.0,,21.0,66.0,61.0,,,,,
Cубсидии на возмещение части процентной ставки по инвестиционным кредитам (займам) на строительство и реконструкцию объектов для молочного скотоводства,2018,21.0,,21.0,66.0,61.0,,,,,
Cубсидии на возмещение части процентной ставки по инвестиционным кредитам (займам) на строительство и реконструкцию объектов для молочного скотоводства,2019,21.0,,21.0,66.0,61.0,,,,,
Алтайский край,2016,3000000999.0,6867.705099999999,3436379630.2528,58305572.862848,53874830.030924,4438027.644548,53651714.29514194,1696854.43306638,58085826.96425022,53814738.84175869
Алтайский край,2017,3000000770.0,5410.9307,2663795399.7927,278953108.7231316,265008210.1239158,13951536.58513158,265005524.3312158,2716.5812668099998,278953075.9913825,265008186.27423367
Алтайский край,2018,3000000912.0,5531608538.0,5684258636.0,6291476895.22,8931385024.08,3425413430.2200003,6058952223.96,2877136341.3,6315445610.7300005,8886872265.74
Алтайский край,2019,3000000912.0,4335.6591,2879531273.934274,892560962.7946723,830084064.4468856,62483979.66307228,830081103.4379344,2120365.28890284,892560949.7607946,830084779.201697
Алтайский край,2020,3000001064.0,5669.3628,5962411255.9302,927857238.5624834,918582965.0946442,937135858.1565834,1837153208.6695528,937135835.2542593,1837153226.9646304,9285706.76347712
Алтайский край,2021,1000001444.0,7029.620619999999,3626.691209999999,6905.58050609,10452.663008829999,3636.2930540899997,6761.2835115299995,3488.7483962299993,6814.48353845,10214.41279647
Алтайский край,2022,1000001368.0,4648.2096,2832.6734,4590.69455317,7378.38578042,2851.1583531700003,4573.12307213,2857.3443646000005,4629.42518119,7378.38503029
Алтайский край,2023,1520.0,9304.2504,0.0,9288.361568629998,9195.47773125,92.88383738,9195.36505179,14.179026839999999,9288.192723149998,9195.310574250001
Алтайский край,2024,1292.0,7024.0823,0.0,7057.683478280001,6987.104,70.57947828,6987.10360966,16.53401898,7057.68232654,6987.10290032
Амурская область,2016,30000001168.0,2273.5769999999998,19942520.3496,19943021.518400002,13659344.3188,6286036.291,2319.7143941199997,6616182.54754807,6286998.531582651,334081.11790993996
Амурская область,2017,30000000900.0,2152.0042,954844754.8438,384928874.66948426,262209979.71214214,122721986.50908425,254237477.3722715,947.2122149300001,372973990.58157814,254238417.7713932
Амурская область,2018,30000001080.0,1700643680.0,2116134600.0,1686162070.9,2985852712.95,1363315499.8999999,1870707942.91,1033297095.6100001,2026809574.62,2890134519.9700003
Амурская область,2019,30000001080.0,5317.6791,4649382822.494271,71589427.60235548,60856106.29987156,10743753.93060372,60851069.14366991,7537.34673331,71589063.55738829,60855681.27769774
Амурская область,2020,30000001260.0,3035.1544000000004,2814696694.5534,226121611.70695257,192205465.82535112,260038668.05095255,382910575.28426224,258280485.77972165,381416283.4056238,33658153.02331292
Амурская область,2021,10000001710.0,5639.91902,3417.1244100000004,5674.055643109999,8877.46405617,3576.617764490001,5422.02399197,3246.5734902400004,5570.033750080001,8546.946181520001
Амурская область,2022,10000001620.0,3355.0597000000002,1699.1196,3501.53707753,5055.32557141,1961.16686998,3378.3750133900003,1764.86701053,3550.84353321,5048.46418221
Амурская область,2023,1800.0,6440.871700000001,0.0,7155.65085902,6356.74547187,798.90538715,6354.21036832,296.48262558,7152.89916856,6354.21036832
Амурская область,2024,1530.0,2632.3022,0.0,2614.93493483,2286.3611,328.57383483000007,2286.35702256,685.4161831999999,2614.9305320900003,2286.35702256
Архангельская область,2016,33000000312.0,896.261,456.7952,1652.4822880000002,1729.166844,1285.016488,1269.640384,455.759783,1649.24509644,1724.75373472
Архангельская область,2017,33000000240.0,892.8996999999999,465536398.5359,48045791.683384016,38131364.78994201,9917098.31958402,38130881.70365463,466.23522909999997,48045742.247822426,38131343.66733921
Архангельская область,2018,33000000288.0,877941080.0,922007433.0,986845525.49,1401818146.65,559755479.49,940614012.48,464454707.58,991359628.6,1401080567.48
