region,region_std,year,production,area_total,temp_annual_mean,prec_annual_sum,temp_grow_mean,prec_grow_sum,prec_winter_sum,temp_annual_lag1,prec_annual_lag1,temp_grow_lag1,prec_grow_lag1
Алтайский край,Алтайский край,2007,4698310.0,3576.553,4.392201,606.864057042836,14.966577,386.07352771909245,99.30434922926187,,,,
Алтайский край,Алтайский край,2008,3857490.0,3781.666,3.697218,518.4629473069822,14.45834,317.01480466071166,156.59010133657335,4.392201,606.864057042836,14.966577,386.07352771909245
Алтайский край,Алтайский край,2009,5627844.999999999,3803.968,2.0314295,654.7968527698239,13.675152,397.67826234761486,196.54790799836533,3.697218,518.4629473069822,14.45834,317.01480466071166
Алтайский край,Алтайский край,2010,4240800.0,3393.564,1.010635,517.6908708625513,13.08771,252.17251057232005,192.7798928246237,2.0314295,654.7968527698239,13.675152,397.67826234761486
Алтайский край,Алтайский край,2011,3919500.0,3628.322,2.6501796,417.9232362363779,14.869391,257.3759038501753,194.74629417897236,1.010635,517.6908708625513,13.08771,252.17251057232005
Алтайский край,Алтайский край,2012,2516800.0,3538.062,2.2510893,536.7666922444453,16.016676,298.5414460319473,106.55158509661989,2.6501796,417.9232362363779,14.869391,257.3759038501753
Алтайский край,Алтайский край,2013,4926100.0,3536.192,3.7453997,665.4231745680092,13.038418,402.38643871174133,264.6208391131604,2.2510893,536.7666922444453,16.016676,298.5414460319473
Алтайский край,Алтайский край,2014,3294900.0,3717.01,2.587295,666.8417150172315,14.078071,356.56892802374165,170.96311283886752,3.7453997,665.4231745680092,13.038418,402.38643871174133
Алтайский край,Алтайский край,2015,3940400.0,3632.101,4.0821996,667.186979368396,14.486958,364.64716366361847,212.70936597984115,2.587295,666.8417150172315,14.078071,356.56892802374165
Алтайский край,Алтайский край,2016,4829700.0,3646.225,3.2071202,667.909310639748,15.261879,392.5301572712873,197.5334540650396,4.0821996,667.186979368396,14.486958,364.64716366361847
Алтайский край,Алтайский край,2017,4975500.0,3746.324000000001,3.669728,582.6286609155818,14.547732,375.1153869382696,210.72239524958803,3.2071202,667.909310639748,15.261879,392.5301572712873
Алтайский край,Алтайский край,2018,5010700.0,3240.382,1.7332898,618.4291256631642,13.51429,361.0688778319717,168.36766271974628,3.669728,582.6286609155818,14.547732,375.1153869382696
Алтайский край,Алтайский край,2019,4591700.0,3169.043,3.5495784,532.6566909535354,14.290176,303.73749940462835,146.58890480997988,1.7332898,618.4291256631642,13.51429,361.0688778319717
Алтайский край,Алтайский край,2020,3951100.0,3289.34,4.947075,543.1873338816944,16.008762,289.9282270630843,239.24076910063906,3.5495784,532.6566909535354,14.290176,303.73749940462835
Алтайский край,Алтайский край,2021,5577400.0,3234.649,3.3199966,548.4741485083655,14.4506035,261.63354810540835,213.98887016335695,4.947075,543.1873338816944,16.008762,289.9282270630843
Алтайский край,Алтайский край,2022,5648400.0,3353.13131,3.4153044,380.3024997849483,15.3368025,245.74146768788123,178.65099857489162,3.3199966,548.4741485083655,14.4506035,261.63354810540835
Алтайский край,Алтайский край,2023,4500000.0,3352.99945,4.4846106,320.42252580056373,14.570624,169.59635045295053,101.6348992515178,3.4153044,380.3024997849483,15.3368025,245.74146768788123
Амурская область,Амурская область,2007,361930.0,231.975,-1.8762646,642.8892653508303,11.751014,560.6091924345063,31.308500109155695,,,,
Амурская область,Амурская область,2008,272770.0,258.398,-1.8940729,688.5199476892728,12.069958,546.2965785447144,50.966466188579886,-1.8762646,642.8892653508303,11.751014,560.6091924345063
Амурская область,Амурская область,2009,337801.8,247.87,-3.604,689.0931880194111,10.82451,585.1802942247036,80.12064015683994,-1.8940729,688.5199476892728,12.069958,546.2965785447144
Амурская область,Амурская область,2010,130400.0,204.448,-3.1144269,651.0446341882149,11.391713,535.6626913512455,60.84808440812494,-3.604,689.0931880194111,10.82451,585.1802942247036
Амурская область,Амурская область,2011,338200.0,189.62,-1.9709774,547.6192484976287,11.697098,452.5916703403002,74.71030565097398,-3.1144269,651.0446341882149,11.391713,535.6626913512455
Амурская область,Амурская область,2012,271400.0,223.388,-3.3739223,752.4719436718043,11.996723,626.5271038139664,47.39113114872875,-1.9709774,547.6192484976287,11.697098,452.5916703403002
Амурская область,Амурская область,2013,172300.0,178.086,-3.02826,868.5548907513778,11.048595,764.5433866730092,61.468669777181454,-3.3739223,752.4719436718043,11.996723,626.5271038139664
Амурская область,Амурская область,2014,417700.0,194.908,-2.6679688,564.8723837283975,12.852459,469.5601427421585,56.99956935697465,-3.02826,868.5548907513778,11.048595,764.5433866730092
Амурская область,Амурская область,2015,351000.0,180.726,-1.8343081,569.9526563703552,11.549268,436.3462435515187,76.8187359838854,-2.6679688,564.8723837283975,12.852459,469.5601427421585
Амурская область,Амурская область,2016,474700.0,219.427,-3.4930313,781.4732723162452,10.968959,691.7352727167964,74.90972974311018,-1.8343081,569.9526563703552,11.549268,436.3462435515187
