region,year,temp,rain
Алтайский край,2006,3.1047618,17.850813
Алтайский край,2007,4.821818,17.677519
Алтайский край,2008,3.9448154,15.80222
Алтайский край,2009,2.1699665,16.615139
Алтайский край,2010,1.0557429,13.7892
Алтайский край,2011,2.741483,12.137676
Алтайский край,2012,2.4900627,14.953271
Алтайский край,2013,4.122083,18.765938
Алтайский край,2014,2.879556,20.439487
Алтайский край,2015,4.479706,18.547407
Алтайский край,2016,3.54378,19.874725
Алтайский край,2017,3.962087,18.551964
Алтайский край,2018,1.8785782,18.146235
Алтайский край,2019,3.8274815,14.679196
Алтайский край,2020,5.393331,15.509272
Алтайский край,2021,3.835696,15.443617
Алтайский край,2022,3.5994797,10.189362
Алтайский край,2023,4.744044,9.476855
Амурская область,2006,-2.393612,20.956722
Амурская область,2007,0.07116445,15.586603
Амурская область,2008,-0.051441193,21.753454
Амурская область,2009,-1.6270727,17.982126
Амурская область,2010,-1.07414,20.191818
Амурская область,2011,-0.2819532,14.073449
Амурская область,2012,-1.7174568,17.960884
Амурская область,2013,-1.2862841,27.728935
Амурская область,2014,-0.62842053,13.345283
Амурская область,2015,-0.10655848,16.415722
Амурская область,2016,-1.8824908,22.489946
Амурская область,2017,0.0039164224,16.678877
Амурская область,2018,-0.57861584,16.800772
Амурская область,2019,-1.4724833,23.085552
Амурская область,2020,-0.14882405,20.974438
Амурская область,2021,-0.55932236,28.862831
Амурская область,2022,-0.45065054,16.470413
Амурская область,2023,-0.7468427,9.331891
Архангельская область,2006,1.1343842,24.399189
Архангельская область,2007,2.3346748,25.040201
Архангельская область,2008,2.09081,28.675356
Архангельская область,2009,1.0376434,24.048695
Архангельская область,2010,0.7204564,21.583662
Архангельская область,2011,2.154082,22.83452
Архангельская область,2012,0.9658101,24.130524
Архангельская область,2013,2.4498825,23.056803
Архангельская область,2014,1.8994141,23.82647
Архангельская область,2015,2.5903828,24.54535
Архангельская область,2016,2.7039363,21.43349
Архангельская область,2017,2.0034282,27.894814
Архангельская область,2018,2.0393856,23.806658
Архангельская область,2019,2.1679764,29.835651
Архангельская область,2020,3.2549846,29.71884
Архангельская область,2021,1.0165228,23.476536
Архангельская область,2022,2.6390305,18.226042
Архангельская область,2023,2.2723644,12.716539
Астраханская область,2006,10.733505,7.6604533
Астраханская область,2007,11.520061,8.429013
Астраханская область,2008,10.700836,8.276806
Астраханская область,2009,10.676315,8.668476
Астраханская область,2010,12.275307,8.4214735
Астраханская область,2011,10.239204,9.048434
Астраханская область,2012,11.0346575,6.675959
Астраханская область,2013,11.705579,8.584831
Астраханская область,2014,10.919434,6.4992795
Астраханская область,2015,11.82964,7.602043
Астраханская область,2016,11.518064,9.923313
Астраханская область,2017,11.471852,8.576779
Астраханская область,2018,11.117673,7.30865
Астраханская область,2019,11.707039,7.3677483
Астраханская область,2020,12.463155,5.3302364
Астраханская область,2021,12.240807,10.714618
Астраханская область,2022,11.84769,7.718254
Астраханская область,2023,12.575587,5.529246
Белгородская область,2006,6.962509,20.995413
Белгородская область,2007,8.588908,21.012455
Белгородская область,2008,8.238109,16.600676
Белгородская область,2009,8.220749,18.481613
Белгородская область,2010,8.675697,20.09973
Белгородская область,2011,7.104439,18.305893
Белгородская область,2012,7.991526,21.880634
Белгородская область,2013,8.399753,20.777126
Белгородская область,2014,8.043945,16.097818
