region,year,production,temp,rain
Алтайский край,2006,3518000.0,-1.9087557,7239684.5
Алтайский край,2007,4698310.0,-0.49195853,7451264.0
Алтайский край,2008,3857490.0,-0.84385645,7355052.0
Алтайский край,2009,5627844.999999999,-1.9351369,6995376.5
Алтайский край,2010,4240800.0,-2.0153794,7153761.0
Алтайский край,2011,3919500.0,-1.0723796,6894304.5
Алтайский край,2012,2516800.0,-1.4247705,7140261.0
Алтайский край,2013,4926100.0,-1.2187916,7337171.5
Алтайский край,2014,3294900.0,-1.4437773,7092941.0
Алтайский край,2015,3940400.0,-0.69652283,7325095.0
Алтайский край,2016,4829700.0,-0.78395724,7326448.0
Алтайский край,2017,4975500.0,-0.7078007,7366581.5
Алтайский край,2018,5010700.0,-1.1319901,7061673.5
Алтайский край,2019,4591700.0,-0.5274461,7289428.5
Алтайский край,2020,3951100.0,0.5139246,7293646.0
Алтайский край,2021,5577400.0,-1.2903502,7320562.0
Алтайский край,2022,5648400.0,-0.53778017,6166387.5
Алтайский край,2023,4500000.0,-0.5185255,3924516.2
Амурская область,2006,233690.0,-1.9087557,7239684.5
Амурская область,2007,361930.0,-0.49195853,7451264.0
Амурская область,2008,272770.0,-0.84385645,7355052.0
Амурская область,2009,337801.8,-1.9351369,6995376.5
Амурская область,2010,130400.0,-2.0153794,7153761.0
Амурская область,2011,338200.0,-1.0723796,6894304.5
Амурская область,2012,271400.0,-1.4247705,7140261.0
Амурская область,2013,172300.0,-1.2187916,7337171.5
Амурская область,2014,417700.0,-1.4437773,7092941.0
Амурская область,2015,351000.0,-0.69652283,7325095.0
Амурская область,2016,474700.0,-0.78395724,7326448.0
Амурская область,2017,395100.0,-0.7078007,7366581.5
Амурская область,2018,360300.0,-1.1319901,7061673.5
Амурская область,2019,361900.0,-0.5274461,7289428.5
Амурская область,2020,418300.0,0.5139246,7293646.0
Амурская область,2021,426000.0,-1.2903502,7320562.0
Амурская область,2022,446800.0,-0.53778017,6166387.5
Амурская область,2023,616300.0,-0.5185255,3924516.2
Архангельская область,2006,3700.0,-1.9087557,7239684.5
Архангельская область,2007,5460.0,-0.49195853,7451264.0
Архангельская область,2008,2460.0,-0.84385645,7355052.0
Архангельская область,2009,3046.2,-1.9351369,6995376.5
Архангельская область,2010,3400.0,-2.0153794,7153761.0
Архангельская область,2011,7100.0,-1.0723796,6894304.5
Архангельская область,2012,3700.0,-1.4247705,7140261.0
Архангельская область,2013,3600.0,-1.2187916,7337171.5
Архангельская область,2014,5600.0,-1.4437773,7092941.0
Архангельская область,2015,5100.0,-0.69652283,7325095.0
Архангельская область,2016,4600.0,-0.78395724,7326448.0
Астраханская область,2006,38980.00000000001,-1.9087557,7239684.5
Астраханская область,2007,29630.0,-0.49195853,7451264.0
Астраханская область,2008,40180.0,-0.84385645,7355052.0
Астраханская область,2009,48073.4,-1.9351369,6995376.5
Астраханская область,2010,43600.0,-2.0153794,7153761.0
Астраханская область,2011,45600.0,-1.0723796,6894304.5
Астраханская область,2012,31800.0,-1.4247705,7140261.0
Астраханская область,2013,25300.0,-1.2187916,7337171.5
Астраханская область,2014,28800.0,-1.4437773,7092941.0
Астраханская область,2015,30800.0,-0.69652283,7325095.0
Астраханская область,2016,29200.0,-0.78395724,7326448.0
Астраханская область,2017,38800.0,-0.7078007,7366581.5
Астраханская область,2018,35400.0,-1.1319901,7061673.5
Астраханская область,2019,40900.0,-0.5274461,7289428.5
Астраханская область,2020,46800.0,0.5139246,7293646.0
