region,year,area_total,level,drop_flag,region_type
Алтайский край,2007,3576.553,region,False,krai
Алтайский край,2008,3781.666,region,False,krai
Алтайский край,2009,3803.968,region,False,krai
Алтайский край,2010,3393.564,region,False,krai
Алтайский край,2011,3628.322,region,False,krai
Алтайский край,2012,3538.062,region,False,krai
Алтайский край,2013,3536.192,region,False,krai
Алтайский край,2014,3717.01,region,False,krai
Алтайский край,2015,3632.101,region,False,krai
Алтайский край,2016,3646.225,region,False,krai
Алтайский край,2017,3746.324000000001,region,False,krai
Алтайский край,2018,3240.382,region,False,krai
Алтайский край,2019,3169.043,region,False,krai
Алтайский край,2020,3289.34,region,False,krai
Алтайский край,2021,3234.649,region,False,krai
Алтайский край,2022,3353.13131,region,False,krai
Алтайский край,2023,3352.99945,region,False,krai
Амурская область,2007,231.975,region,False,oblast
Амурская область,2008,258.398,region,False,oblast
Амурская область,2009,247.87,region,False,oblast
Амурская область,2010,204.448,region,False,oblast
Амурская область,2011,189.62,region,False,oblast
Амурская область,2012,223.388,region,False,oblast
Амурская область,2013,178.086,region,False,oblast
Амурская область,2014,194.908,region,False,oblast
Амурская область,2015,180.726,region,False,oblast
Амурская область,2016,219.427,region,False,oblast
Амурская область,2017,201.254,region,False,oblast
Амурская область,2018,204.19,region,False,oblast
Амурская область,2019,232.089,region,False,oblast
Амурская область,2020,220.139,region,False,oblast
Амурская область,2021,194.755,region,False,oblast
Амурская область,2022,180.08813,region,False,oblast
Амурская область,2023,198.00706,region,False,oblast
Архангельская область,2007,3.233,region,False,oblast
Архангельская область,2008,1.844,region,False,oblast
Архангельская область,2009,1.811,region,False,oblast
Архангельская область,2010,2.24,region,False,oblast
Архангельская область,2011,3.156,region,False,oblast
Архангельская область,2012,2.69,region,False,oblast
Архангельская область,2013,2.418,region,False,oblast
Архангельская область,2014,3.018,region,False,oblast
Архангельская область,2015,2.799,region,False,oblast
Архангельская область,2016,3.17,region,False,oblast
Архангельская область,2017,1.294,region,False,oblast
Архангельская область,2018,1.071,region,False,oblast
Архангельская область,2019,0.819,region,False,oblast
Архангельская область,2020,0.31,region,False,oblast
Архангельская область,2021,999999999.0,region,False,oblast
Астраханская область,2007,24.88,region,False,oblast
Астраханская область,2008,23.525,region,False,oblast
Астраханская область,2009,24.453,region,False,oblast
Астраханская область,2010,22.957,region,False,oblast
Астраханская область,2011,21.256,region,False,oblast
Астраханская область,2012,17.677,region,False,oblast
Астраханская область,2013,13.39,region,False,oblast
Астраханская область,2014,13.106,region,False,oblast
Астраханская область,2015,11.761,region,False,oblast
Астраханская область,2016,10.06,region,False,oblast
Астраханская область,2017,11.933,region,False,oblast
Астраханская область,2018,15.746,region,False,oblast
Астраханская область,2019,15.125,region,False,oblast
Астраханская область,2020,15.196,region,False,oblast
Астраханская область,2021,17.008,region,False,oblast
Астраханская область,2022,23.02355,region,False,oblast
Белгородская область,2007,757.866,region,False,oblast
Белгородская область,2008,839.856,region,False,oblast
Белгородская область,2009,821.0120000000001,region,False,oblast
Белгородская область,2010,613.766,region,False,oblast
Белгородская область,2011,722.1179999999999,region,False,oblast
Белгородская область,2012,747.79,region,False,oblast
Белгородская область,2013,819.579,region,False,oblast
Белгородская область,2014,794.097,region,False,oblast
Белгородская область,2015,790.796,region,False,oblast
Белгородская область,2016,739.6759999999999,region,False,oblast
Белгородская область,2017,750.562,region,False,oblast
Белгородская область,2018,738.521,region,False,oblast
