model,variable,coef,t_or_z,pvalue
dynamic_fe_lag,temp_grow_mean,-0.13212186212126542,-6.336377403752198,3.538893622589967e-10
dynamic_fe_lag,prec_grow_sum,-3.736198244577417e-06,-0.5508362874440168,0.5818678442849778
dynamic_fe_lag,temp_grow_lag1,0.00010809524575557141,0.007527146885379958,0.9939957503390655
dynamic_fe_lag,prec_grow_lag1,7.081312098166634e-07,0.10257519141763685,0.9183205149197011
dynamic_fe_y_lag,ln_production_lag1,0.42411782077778243,8.860077126343878,0.0
dynamic_fe_y_lag,temp_grow_mean,-0.11662565694737298,-8.074266334586438,1.9984014443252818e-15
dynamic_fe_y_lag,prec_grow_sum,3.2546552525213135e-06,0.5358669356594273,0.5921687352841216
dynamic_fe_y_lag,temp_grow_lag1,0.045619811585517624,2.673919988815734,0.007618284256186936
dynamic_fe_y_lag,prec_grow_lag1,-3.1507812693208964e-06,-0.5147743614360608,0.6068235566562976
dynamic_fe_quad,temp_grow_mean,-0.05211878392065213,-0.43812299804786436,0.6613910875348701
dynamic_fe_quad,temp_grow_sq,-0.0024522877048535102,-0.6301583689251056,0.5287339366684978
dynamic_fe_quad,prec_grow_sum,4.783746437150609e-05,3.4887863799379137,0.000506207406305359
dynamic_fe_quad,prec_grow_sq,-1.7053628148533204e-09,-4.032858039404824,5.92646695423138e-05
dynamic_fe_quad,temp_grow_lag1,-0.003365139941009915,-0.23506460708058463,0.8142063789318761
dynamic_fe_quad,prec_grow_lag1,6.298795731176696e-07,0.08684448201590782,0.9308123945264086
quantile_0.25,temp_grow_mean,-0.06688582054992431,-5.3248021077654375,1.2288416803601518e-07
quantile_0.25,prec_grow_sum,3.844439383028689e-06,0.864831047873492,0.38732339812245253
quantile_0.5,temp_grow_mean,-0.07941598172572653,-6.510761921301233,1.1425987897946913e-10
quantile_0.5,prec_grow_sum,1.441662857245658e-06,0.33457036554170144,0.7380141049992845
quantile_0.75,temp_grow_mean,-0.0703352681361971,-6.0217995248610405,2.360648251480645e-09
quantile_0.75,prec_grow_sum,-5.09576546274525e-06,-1.401236173606328,0.16143047770566762
quantile_quad_0.25,temp_grow_mean,0.000755292749608386,21.190480508008424,1.3342068620934185e-83
quantile_quad_0.25,temp_grow_sq,0.020655441716067712,25.29241117879445,3.334767607557731e-111
quantile_quad_0.25,prec_grow_sum,0.001146472351691379,38.81875715203268,5.1727254395449744e-207
quantile_quad_0.25,prec_grow_sq,-3.981757233768719e-08,-34.18971689652123,3.58517501571905e-174
quantile_quad_0.5,temp_grow_mean,0.0009697169985577378,31.367719117875556,4.964817073207143e-154
quantile_quad_0.5,temp_grow_sq,0.0232107693859313,32.76829254831727,5.009524739227949e-164
quantile_quad_0.5,prec_grow_sum,0.0011722572050698664,40.526345979077924,5.503241076788308e-219
quantile_quad_0.5,prec_grow_sq,-3.673987527160412e-08,-27.478906889101843,1.8925988287351624e-126
quantile_quad_0.75,temp_grow_mean,0.0010394355406944905,30.749630128184027,1.2653786909526275e-149
quantile_quad_0.75,temp_grow_sq,0.02334781679345466,30.144195153679576,2.5873523209097456e-145
quantile_quad_0.75,prec_grow_sum,0.001269186642137976,35.0243830496734,4.019887553258316e-180
quantile_quad_0.75,prec_grow_sq,-3.611634593709123e-08,-18.97751711329512,1.593753447060691e-69
zone_interaction,C(agro_zone)[T.other],-3.7064745509282058,-9.010646044434678,2.0484616059828823e-19
zone_interaction,C(agro_zone)[T.risky_farming],-6.5533690427693845,-7.923353221817256,2.311896255321092e-15
zone_interaction,C(agro_zone)[T.volga_dry],-0.7935654902757533,-1.2409511723411655,0.2146237871420561
zone_interaction,temp_grow_mean,-0.18079175069630277,-6.681104418671864,2.3714817045516098e-11
zone_interaction,temp_grow_mean:C(agro_zone)[T.other],0.08973332166154005,3.211674293812457,0.001319638946397355
zone_interaction,temp_grow_mean:C(agro_zone)[T.risky_farming],0.09188193205819986,1.3854021330521424,0.16592953913782849
zone_interaction,temp_grow_mean:C(agro_zone)[T.volga_dry],0.029420750399845343,0.7333726224686258,0.4633311924415955
zone_interaction,prec_grow_sum,2.050174245632675e-05,2.277410212997222,0.0227617407918398
zone_interaction,prec_grow_sum:C(agro_zone)[T.other],-1.7001297985052444e-05,-1.9647900723156357,0.04943853971173963
zone_interaction,prec_grow_sum:C(agro_zone)[T.risky_farming],-4.795349012083045e-06,-0.24569460959039668,0.8059186452437272
zone_interaction,prec_grow_sum:C(agro_zone)[T.volga_dry],6.429950803865959e-06,0.42067545398021083,0.6739920874669343
