feature,importance
num__ln_yield_lag1,0.8433184609289442
num__spei_x_subsidy,0.0282477878523031
num__temp_grow_mean,0.01727148826866941
num__ln_subsidy_per_area,0.016220058035002632
num__prec_grow_sum,0.015412188404350113
num__spei_grow_mean,0.014056018218229589
num__temp_grow_sq,0.012902959195265603
num__ln_subsidy_main,0.011373847937928032
num__spei_sq,0.010089558621864747
num__spi_sq,0.010028555374276254
num__temp_x_subsidy,0.007801305637727627
num__spi_x_subsidy,0.006518221998484316
num__spi_grow_mean,0.004409083244278413
cat__agro_zone_other,0.0010196051304166534
cat__agro_zone_black_soil,0.0007933379402194231
cat__agro_zone_risky_farming,0.0004809984276658561
cat__agro_zone_volga_dry,5.652478437395883e-05
