region,neighbor
Adygey,Krasnodar
Altay,Novosibirsk
Amur,Zabaykal'ye
Amur,Khabarovsk
Amur,Sakha
Arkhangel'sk,Vologda
Arkhangel'sk,Kirov
Arkhangel'sk,Karelia
Arkhangel'sk,Komi
Astrakhan',Kalmyk
Astrakhan',Volgograd
Bashkortostan,Sverdlovsk
Bashkortostan,Perm'
Bashkortostan,Tatarstan
Bashkortostan,Orenburg
Bashkortostan,Chelyabinsk
Bashkortostan,Udmurt
Belgorod,Voronezh
Belgorod,Kursk
Bryansk,Smolensk
Bryansk,Kaluga
Bryansk,Kursk
Buryat,Tuva
Buryat,Zabaykal'ye
Buryat,Irkutsk
Chechnya,Dagestan
Chechnya,Stavropol'
Chechnya,North Ossetia
Chechnya,Ingush
Chelyabinsk,Orenburg
Chelyabinsk,Kurgan
Chelyabinsk,Sverdlovsk
Chelyabinsk,Bashkortostan
Dagestan,Kalmyk
Dagestan,Stavropol'
Dagestan,Chechnya
Ingush,Chechnya
Ingush,North Ossetia
Irkutsk,Zabaykal'ye
Irkutsk,Buryat
Irkutsk,Tuva
Irkutsk,Krasnoyarsk
Irkutsk,Sakha
Ivanovo,Yaroslavl'
Ivanovo,Kostroma
Ivanovo,Vladimir
Kabardin-Balkar,Stavropol'
Kabardin-Balkar,Karachay-Cherkess
Kabardin-Balkar,North Ossetia
Kalmyk,Stavropol'
Kalmyk,Astrakhan'
Kalmyk,Dagestan
Kalmyk,Rostov
Kalmyk,Volgograd
Kaluga,Tula
Kaluga,Smolensk
Kaluga,Moskva
Kaluga,Bryansk
Karachay-Cherkess,Krasnodar
Karachay-Cherkess,Stavropol'
Karachay-Cherkess,Kabardin-Balkar
Karelia,Vologda
Karelia,Arkhangel'sk
Karelia,Leningrad
Khabarovsk,Amur
Khabarovsk,Primor'ye
Khabarovsk,Sakha
Khakass,Tuva
Khakass,Krasnoyarsk
Kirov,Vologda
Kirov,Mariy-El
Kirov,Arkhangel'sk
Kirov,Perm'
Kirov,Tatarstan
Kirov,Komi
Kirov,Kostroma
Kirov,Udmurt
Komi,Kirov
Komi,Perm'
Komi,Arkhangel'sk
Komi,Sverdlovsk
Kostroma,Vologda
Kostroma,Kirov
Kostroma,Yaroslavl'
Kostroma,Ivanovo
Krasnodar,Adygey
Krasnodar,Stavropol'
Krasnodar,Karachay-Cherkess
Krasnodar,Rostov
Krasnoyarsk,Tomsk
Krasnoyarsk,Khakass
Krasnoyarsk,Tuva
Krasnoyarsk,Irkutsk
Krasnoyarsk,Sakha
Kurgan,Chelyabinsk
Kurgan,Tyumen'
Kurgan,Sverdlovsk
Kursk,Lipetsk
Kursk,Voronezh
Kursk,Belgorod
Kursk,Bryansk
Leningrad,Vologda
Leningrad,Novgorod
Leningrad,Pskov
Leningrad,Karelia
Lipetsk,Voronezh
Lipetsk,Tambov
Lipetsk,Kursk
Lipetsk,Tula
Lipetsk,Ryazan'
Mariy-El,Kirov
Mariy-El,Tatarstan
Mordovia,Penza
Mordovia,Ul'yanovsk
Mordovia,Ryazan'
Moskva,Yaroslavl'
Moskva,Kaluga
Moskva,Smolensk
Moskva,Tula
Moskva,Vladimir
Moskva,Tver'
Moskva,Ryazan'
North Ossetia,Chechnya
North Ossetia,Stavropol'
North Ossetia,Ingush
North Ossetia,Kabardin-Balkar
Novgorod,Vologda
Novgorod,Tver'
Novgorod,Pskov
Novgorod,Leningrad
Novosibirsk,Altay
Novosibirsk,Omsk
Novosibirsk,Tomsk
Omsk,Tyumen'
Omsk,Novosibirsk
Omsk,Tomsk
Orenburg,Samara
Orenburg,Saratov
Orenburg,Bashkortostan
Orenburg,Tatarstan
Orenburg,Chelyabinsk
Penza,Saratov
Penza,Mordovia
Penza,Tambov
Penza,Ul'yanovsk
Penza,Ryazan'
Perm',Sverdlovsk
Perm',Bashkortostan
Perm',Kirov
Perm',Komi
Perm',Udmurt
Primor'ye,Khabarovsk
Pskov,Smolensk
Pskov,Tver'
Pskov,Novgorod
Pskov,Leningrad
Rostov,Kalmyk
Rostov,Voronezh
Rostov,Stavropol'
Rostov,Krasnodar
Rostov,Volgograd
Ryazan',Lipetsk
Ryazan',Mordovia
Ryazan',Moskva
Ryazan',Tambov
Ryazan',Tula
Ryazan',Penza
Ryazan',Vladimir
Sakha,Amur
Sakha,Zabaykal'ye
Sakha,Khabarovsk
Sakha,Krasnoyarsk
Sakha,Irkutsk
Samara,Orenburg
Samara,Saratov
Samara,Ul'yanovsk
Samara,Tatarstan
Saratov,Samara
Saratov,Voronezh
Saratov,Tambov
Saratov,Orenburg
Saratov,Penza
Saratov,Ul'yanovsk
Saratov,Volgograd
Smolensk,Kaluga
Smolensk,Moskva
Smolensk,Bryansk
Smolensk,Tver'
Smolensk,Pskov
Stavropol',North Ossetia
Stavropol',Chechnya
Stavropol',Dagestan
Stavropol',Rostov
Stavropol',Kabardin-Balkar
Stavropol',Kalmyk
Stavropol',Karachay-Cherkess
Stavropol',Krasnodar
Sverdlovsk,Chelyabinsk
Sverdlovsk,Bashkortostan
Sverdlovsk,Komi
Sverdlovsk,Perm'
Sverdlovsk,Tyumen'
Sverdlovsk,Kurgan
Tambov,Lipetsk
Tambov,Voronezh
Tambov,Saratov
Tambov,Penza
Tambov,Ryazan'
Tatarstan,Samara
Tatarstan,Mariy-El
Tatarstan,Bashkortostan
Tatarstan,Orenburg
Tatarstan,Kirov
Tatarstan,Udmurt
Tatarstan,Ul'yanovsk
Tomsk,Tyumen'
Tomsk,Krasnoyarsk
Tomsk,Novosibirsk
Tomsk,Omsk
Tula,Lipetsk
Tula,Kaluga
Tula,Moskva
Tula,Ryazan'
Tuva,Buryat
Tuva,Krasnoyarsk
Tuva,Irkutsk
Tuva,Khakass
Tver',Vologda
Tver',Yaroslavl'
Tver',Moskva
Tver',Smolensk
Tver',Novgorod
Tver',Pskov
Tyumen',Kurgan
Tyumen',Sverdlovsk
Tyumen',Omsk
Tyumen',Tomsk
Udmurt,Kirov
Udmurt,Perm'
Udmurt,Bashkortostan
Udmurt,Tatarstan
Ul'yanovsk,Samara
Ul'yanovsk,Saratov
Ul'yanovsk,Mordovia
Ul'yanovsk,Tatarstan
Ul'yanovsk,Penza
Vladimir,Ryazan'
Vladimir,Yaroslavl'
Vladimir,Moskva
Vladimir,Ivanovo
Volgograd,Voronezh
Volgograd,Kalmyk
Volgograd,Saratov
Volgograd,Astrakhan'
Volgograd,Rostov
Vologda,Yaroslavl'
Vologda,Arkhangel'sk
Vologda,Kostroma
Vologda,Novgorod
Vologda,Karelia
Vologda,Kirov
Vologda,Tver'
Vologda,Leningrad
Voronezh,Lipetsk
Voronezh,Saratov
Voronezh,Tambov
Voronezh,Belgorod
Voronezh,Rostov
Voronezh,Kursk
Voronezh,Volgograd
Yaroslavl',Vologda
Yaroslavl',Moskva
Yaroslavl',Tver'
Yaroslavl',Ivanovo
Yaroslavl',Kostroma
Yaroslavl',Vladimir
Zabaykal'ye,Buryat
Zabaykal'ye,Amur
Zabaykal'ye,Irkutsk
Zabaykal'ye,Sakha
