region_match,year,ln_yield,temp_grow_mean,prec_grow_sum,spi_grow_mean,spei_grow_mean,ln_subsidy_main,ln_subsidy_per_area,ln_area,ln_yield_lag1,temp_grow_sq,spi_sq,spei_sq,temp_x_subsidy,spi_x_subsidy,spei_x_subsidy,agro_zone,W_ln_yield,W_temp_grow_mean,W_prec_grow_sum,W_spi_grow_mean,W_spei_grow_mean,W_ln_subsidy_main,W_ln_subsidy_per_area,W_ln_area,W_ln_yield_lag1,W_temp_grow_sq,W_spi_sq,W_spei_sq,W_temp_x_subsidy,W_spi_x_subsidy,W_spei_x_subsidy
Adygey,2016,8.43792925372154,17.7603205,615.0500802099705,0.7474171198924324,0.7125480389139014,26.191325979946523,21.17099121154148,5.020334768405044,8.401844378141654,315.42898426272023,0.5586323511082987,0.5077247077600467,465.1663437238268,19.57584543009547,18.66257796356561,other,8.6409807875573,19.459292666666663,436.7878905692197,0.6633160997400667,0.6661853754654833,22.920490467615963,15.108404493719997,7.812085973895966,8.632180071038299,378.6640710869871,0.4399882481743741,0.4438029544840869,446.01653207288246,15.203530341108396,15.269295548021772
Altay,2016,7.274903440089423,11.475440773333334,504.6458389960304,0.9675690644236261,0.2077750343235368,24.03728669341512,19.00197117791911,5.035315515496006,6.987625999866578,146.02285311478087,0.9548036170455293,0.0432482150102027,267.4499540386198,22.955482161194567,4.974813477548218,black_soil,7.316171643066109,14.7604634,297.6557323566507,0.4829363038541179,-0.9191122221683145,25.733901138136,18.383941318853697,7.349959819282301,7.27724127730104,217.8712797827396,0.2332274735802769,0.8447672769391769,379.8443058886748,12.427835099398678,-23.65234306013189
Amur,2016,7.679418701371082,10.96895871,691.7352727167964,1.0296849162700694,2.2635571241211334,24.124463257541898,18.73344365437357,5.391019603168328,7.571559430308172,120.31805518168488,1.0602510267941,5.123690854159536,264.6202413728892,24.840595929402397,54.60710067220749,other,6.8581568326194935,7.779305947555555,452.74779451487393,0.7192006437895686,1.5896500766217425,25.48692559795099,22.319653915990184,3.167271681960807,6.7292732745615,65.52237307838934,0.5373249456991128,2.715408088413237,197.39339497463192,18.21665793723254,40.51350120076127
Arkhangel'sk,2016,7.280079994587997,7.761104483333334,395.5656002204667,0.2526963876424664,-1.455226583342158,24.21977340786744,23.06604181997825,1.1537315878891892,7.507733608179101,60.234742801216775,0.0638554643275516,2.1176844088656908,187.97219198111745,6.120249249687169,-35.245258105652184,risky_farming,7.37064448277914,12.902076238888888,413.7451804205464,-0.030015273049820067,-1.473409777971905,25.45749635026748,23.565049471667074,1.892446878600407,7.313499341923506,167.9978984726095,0.018738181054778563,2.235722716903899,327.80100074733946,-0.8169274119054477,-37.64700815675762
Astrakhan',2016,7.97335682358478,21.682829166666664,156.5576325314251,0.901675135247116,0.7502121626638815,24.30678478909697,21.99821762442537,2.3085671646715933,7.870480996092766,470.1450806708506,0.8130180495229048,0.5628182890088181,527.0398621729213,21.916823462131543,18.23524558403397,volga_dry,7.776781084551548,20.291491999999998,253.90123169553598,1.1602405806534053,1.2117971531090204,25.4883896383851,19.041391279413475,6.446998358971632,7.348101441456365,412.9538520502001,1.3704826312233003,1.4994620629342381,518.050927456354,29.451614988316866,30.75008306964098
Bashkortostan,2016,7.51521009285843,15.487810333333334,256.1614392590669,-0.5827980047483233,-1.7234483642442069,26.20390476304257,18.702435420943523,7.501469342099046,7.444510332764528,239.8722689213068,0.3396535143386267,2.970274264216032,405.8411069627333,-15.271583412516296,-45.16107680067669,black_soil,7.311115072788595,15.233898208333336,299.90358079140805,-0.09090151362090702,-1.3546636357061195,26.083595116775644,19.463531310938144,6.620063805837502,7.234656170625477,233.6048262844167,0.05895095779401976,2.2017784744772415,397.35933373915384,-2.3865595196664415,-35.36339129956512
Belgorod,2016,8.463659995341935,17.057882,393.4187455814861,1.3385208424514623,1.6173083751706492,24.46093545615835,17.854723203676947,6.606212252481404,8.283407678162659,290.971338325924,1.7916380456769725,2.615686380397125,417.2517506207653,32.74147193392792,39.56087577775358,black_soil,8.223509183644136,16.847188833333334,428.8699853755329,1.7065151857263139,1.867160581747895,25.138537343474884,18.021927635964154,7.116609707510729,8.05318029470068,284.2501769079628,2.9821633324251433,3.6194475369035075,423.3051064805479,42.98418636185053,47.05479528135372
Bryansk,2016,8.226796961139307,15.902950666666667,387.7008814365317,0.6614867574659965,0.3000730296287744,24.529928327872287,18.57719681285333,5.952731515018957,7.969296227391893,252.9038399064338,0.437564730302878,0.0900438231105913,390.0982400550222,16.226222750477532,7.360769909921335,other,7.822695651761502,15.302584944444444,467.7906482697598,1.275238903331078,1.1102919633158974,25.553390370656366,20.173899624643806,5.3794907460125625,7.879990267629126,234.5773070254398,1.8686913281772328,1.8669351254489515,390.9609233696908,32.54734619635326,28.295316938772718
Buryat,2016,6.086785537781555,8.73061075,403.2380576988688,0.3030359144413654,-0.2058557222334653,26.216327284237572,21.8898001460506,4.3265271381869805,5.520316712901397,76.22356406801556,0.0918307654413145,0.0423765783762616,228.8845488132829,7.944488711873052,-5.396780987405629,other,6.95380861779447,9.613073566666666,416.81379993129286,0.5627644125692848,0.40230212903929996,25.84928101897685,21.504602015947054,4.344679003029798,6.495654908297856,92.6824402305043,0.3745180284482813,0.35978418513156935,248.31708862210235,14.670765911877982,10.503447761255265
Chechnya,2016,7.638372275741588,17.566128000000003,752.7196987274815,1.3713913990207072,1.61130894432395,26.38622631924208,21.391625560625265,4.994600758616815,7.53643281129961,308.5688529123841,1.8807143693079724,2.596316514058362,463.5038289607753,36.1858438268224,42.51636247515078,other,8.015537955016683,17.594859888888887,566.5856676843587,1.3830215124251675,1.5456638924542547,25.02545345033154,19.509512720130708,5.515940730200829,7.793089521130034,312.68238023518586,1.9203080192587696,2.424674842679611,438.84771947313305,34.618329970124165,38.631651941911535
