quantile,variable,coef,pvalue,significance
0.25,temp_grow_mean,0.05054327913967427,0.43966828774412225,
0.25,prec_grow_sum,-0.0003072356312259217,0.08030291345643553,*
0.25,spi_grow_mean,-0.01826736470684409,0.8376743053768523,
0.25,spei_grow_mean,-0.12772799486265285,0.010376063786551424,**
0.25,ln_subsidy_main,-0.06908996528363787,0.002095970556328646,***
0.25,ln_subsidy_per_area,0.010903387505095452,0.623629783423711,
0.25,ln_area,-0.0799968586070463,0.07114120960875545,*
0.25,ln_yield_lag1,0.10398736811475828,0.0002909053330115361,***
0.25,temp_grow_sq,-0.008177596762834582,1.3756885534296497e-06,***
0.25,spi_sq,-0.07570010074414313,3.278443061575588e-06,***
0.25,spei_sq,-0.011831722575152526,0.003050267034941553,***
0.25,temp_x_subsidy,0.0003457620629774283,0.22195081439247852,
0.25,spi_x_subsidy,0.011368452853275812,0.0021167155264720733,***
0.25,spei_x_subsidy,0.0008600307044162037,0.6217281447598244,
0.5,temp_grow_mean,0.06357977428706363,0.3179087637240982,
0.5,prec_grow_sum,-0.0005805303010220086,0.004800153411957911,***
0.5,spi_grow_mean,-0.07091056171339005,0.45904195869646225,
0.5,spei_grow_mean,-0.08088240589131601,0.12344975485618478,
0.5,ln_subsidy_main,-0.02981930217356421,0.19633576222739124,
0.5,ln_subsidy_per_area,-0.015134500281419605,0.5149531548783322,
0.5,ln_area,-0.014710253395605832,0.7484312485265694,
0.5,ln_yield_lag1,0.07984533460694365,0.009033368795068948,***
0.5,temp_grow_sq,-0.007656223242065607,7.503498910882662e-07,***
0.5,spi_sq,-0.014337824715767056,0.434869875806712,
0.5,spei_sq,-0.01963065494669536,1.5470828323078738e-06,***
0.5,temp_x_subsidy,0.00038441006927314447,0.26671715110668875,
0.5,spi_x_subsidy,0.011744180559617234,0.003935627403018485,***
0.5,spei_x_subsidy,0.00013528223644243553,0.93965144775341,
0.75,temp_grow_mean,0.025877861422486603,0.6875041761758627,
0.75,prec_grow_sum,-0.0010352324597988627,1.6750095232113913e-08,***
0.75,spi_grow_mean,-0.16136136132990941,0.08325796877200067,*
0.75,spei_grow_mean,-0.026532865595072508,0.5926014744431973,
0.75,ln_subsidy_main,-0.011386102771211881,0.5251036427131826,
0.75,ln_subsidy_per_area,-0.01956458843778819,0.27296616345375957,
0.75,ln_area,0.008179110678611323,0.8169691157429577,
0.75,ln_yield_lag1,0.06198671070160344,0.01610840397603131,**
0.75,temp_grow_sq,-0.0070674727685400285,5.3680662153929575e-06,***
0.75,spi_sq,-0.023660867285798304,0.1399428270299353,
0.75,spei_sq,-0.00658915506573976,0.05904095538664405,*
0.75,temp_x_subsidy,0.00039278378130802594,0.16397819111746031,
0.75,spi_x_subsidy,0.014489772985143645,0.0001909398874650591,***
0.75,spei_x_subsidy,-0.001959408879883995,0.20675684960297183,
