feature,mean_abs_shap
num__ln_yield_lag1,0.3253585197346545
num__spei_x_subsidy,0.0477240833498606
num__spei_grow_mean,0.021227041662621248
num__temp_grow_mean,0.01596287752101156
num__ln_subsidy_per_area,0.010997474322613608
num__temp_grow_sq,0.010128499607587863
num__prec_grow_sum,0.009152446747201063
num__ln_subsidy_main,0.00752656662769568
num__spei_sq,0.005638569390595163
num__ln_area,0.005363491369093628
num__spi_sq,0.005308328896443217
num__temp_x_subsidy,0.005018886863746371
num__spi_x_subsidy,0.004251260175136835
num__spi_grow_mean,0.002076873322770329
cat__agro_zone_black_soil,0.0012679667388966092
cat__agro_zone_other,0.0006411201164048
cat__agro_zone_risky_farming,0.00033017475705246073
cat__agro_zone_volga_dry,8.27761210934027e-05
