feature,importance
num__ln_yield_lag1,0.8414370082635347
num__spei_x_subsidy,0.02802993161684076
num__temp_grow_mean,0.01773944505654662
num__prec_grow_sum,0.014610099115475903
num__ln_subsidy_per_area,0.013652576570081025
num__spei_grow_mean,0.013319562631277903
num__temp_grow_sq,0.011389670121384027
num__ln_subsidy_main,0.010581744274702315
num__ln_area,0.010286785494748424
num__spei_sq,0.009947917112722433
num__spi_sq,0.00955195791479683
num__temp_x_subsidy,0.007039636108604386
num__spi_x_subsidy,0.006177054749099158
num__spi_grow_mean,0.004122423173658246
cat__agro_zone_other,0.0008124696629143947
cat__agro_zone_black_soil,0.0007371227088225894
cat__agro_zone_risky_farming,0.0004663257012329238
cat__agro_zone_volga_dry,9.826972355742649e-05
