feature,importance
num__temp_grow_mean,0.35970761962235676
num__prec_grow_sum,0.11641388089493943
num__ln_area,0.0915686090357923
cat__agro_zone_black_soil,0.07914611870486678
num__ln_subsidy_main,0.07341181236892652
num__temp_grow_sq,0.06654893673409368
num__ln_subsidy_per_area,0.055551468766625325
num__spei_x_subsidy,0.053690693864758283
num__temp_x_subsidy,0.027803610716310972
num__spei_grow_mean,0.01622963017894825
num__spei_sq,0.015433508099804108
num__spi_sq,0.015239845505688186
num__spi_x_subsidy,0.014056060354995504
num__spi_grow_mean,0.007464441492781688
cat__agro_zone_volga_dry,0.004170445224428077
cat__agro_zone_other,0.0017906665367551635
cat__agro_zone_risky_farming,0.0017726518979290075
